Academic percentage in Operating Systems,Percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,Hackathons,Coding skills rating,Public speaking points,Can work long time before system?,Self-learning capability?,Extra-courses did,Certifications,Workshops,Interested subjects,Interested career area,Job/Higher Studies?,Type of company want to settle in?,Management or Technical,Worked in teams ever?,Suggested Job Role
88.06734714,60.74610681,51.54457058,60.77905515,80.54134283,55.42276656,82.99040939,57.60009477,78.09008935,4,6.87367229,1,8.136622936,6.310674302,1,1,1,4,2,0,3,1,3,0,0,Data Engineer
90.86700822,64.92826169,98.16035937,71.11847569,69.7551684,82.81576501,73.45280811,64.76275571,88.92201043,9,9.250222013,4,6.785845555,6.089541535,1,1,0,5,4,1,0,0,0,1,1,Data Engineer
76.25570166,77.12678858,79.67812839,99.02765799,70.80774898,74.66211673,84.81579125,74.47934955,89.42728232,7,3.454801341,3,1.028313567,1.263313201,1,1,4,4,3,0,4,1,1,1,1,Data Engineer
70.55824902,98.25790191,51.55762892,85.53985046,71.95493893,96.63755903,80.54468478,84.94405197,70.0105158,6,4.897597731,0,2.118739435,9.157669857,0,0,3,2,2,4,0,1,2,0,1,Data Engineer
97.35636514,51.94328276,68.62546378,51.17395631,61.67263222,56.54105573,81.60448426,51.63498374,84.39372494,7,3.5619523,2,2.230993078,7.831313648,1,1,0,5,4,1,0,0,2,0,0,Data Engineer
98.34523219,68.04940208,85.33855732,69.62637935,54.62894545,84.32786491,88.38503787,95.97308693,55.45603351,6,6.828440245,1,1.740440585,3.937503637,1,0,5,5,5,2,1,1,3,1,1,Data Engineer
93.07972699,99.88518037,98.08454395,75.88698824,65.57568495,88.95159613,99.22388457,51.80387143,89.27540127,10,9.274825743,5,6.836128186,9.552210545,0,1,0,5,5,1,0,0,3,1,1,Data Engineer
75.88888653,94.92812335,67.115832,60.73095324,77.19814291,71.32133626,95.67605487,72.41037019,72.48829432,4,5.792487536,0,7.351140153,3.354737936,0,0,5,0,0,0,0,0,0,0,1,Data Engineer
80.84401234,72.14255029,64.31800795,91.26627881,88.74223231,81.7341267,59.20377096,76.26367686,90.63750158,5,8.532836409,2,4.721836763,8.634534254,0,0,1,1,0,3,3,1,1,0,0,Data Engineer
61.09666911,82.08424772,79.15169817,90.19515729,50.43572062,78.95158968,63.55643593,74.59865454,69.04236965,9,3.437835375,3,2.353123536,1.114168863,0,1,5,4,2,0,1,0,0,1,0,Data Engineer
